datetime,cpm,cps
 2019-07-31 18:38:40,12,0
 2019-07-31 18:38:41,12,0
 2019-07-31 18:38:42,12,0
 2019-07-31 18:38:43,13,1
 2019-07-31 18:38:43,14,1
 2019-07-31 18:38:44,14,0
 2019-07-31 18:38:46,13,0
 2019-07-31 18:38:47,13,0
 2019-07-31 18:38:48,13,0
 2019-07-31 18:38:49,13,1
 2019-07-31 18:38:50,13,0
 2019-07-31 18:38:50,15,2
 2019-07-31 18:38:51,14,0
 2019-07-31 18:38:53,13,0
 2019-07-31 18:38:54,13,0
 2019-07-31 18:38:55,13,0
 2019-07-31 18:38:56,13,0
 2019-07-31 18:38:57,12,0
 2019-07-31 18:38:58,11,0
 2019-07-31 18:38:58,11,0
 2019-07-31 18:38:59,11,0
